Chromosome Arm	P.0000012.T03.IM3	P.0000082.T01.IM3	P.0000208.T01.IM3	P.0000235.T01.IM3	P.0000299.T01.IM3	P.0000302.T02.IM6	P.0000363.T01.IM3	P.0000458.T01.IM3	P.0000563.T01.IM3	P.0000604.T01.IM3	P.0000670.T01.IM3	P.0000681.T02.IM5	P.0000689.T02.IM5	P.0000731.T01.IM3	P.0000826.T01.IM3	P.0000894.T01.IM3	P.0000913.T02.IM5	P.0000978.T02.IM5	P.0001093.T01.IM3	P.0001121.T01.IM3	P.0001171.T01.IM3	P.0001340.T01.IM3	P.0001365.T02.IM3	P.0001385.T01.IM3	P.0001633.T01.IM3	P.0001665.T01.IM3	P.0001830.T01.IM3	P.0001836.T01.IM3	P.0001867.T01.IM3	P.0001955.T01.IM3	P.0001977.T01.IM3	P.0002028.T01.IM3	P.0002151.T01.IM3	P.0002160.T01.IM3	P.0002225.T02.IM5	P.0002247.T01.IM3	P.0002252.T01.IM3	P.0002295.T01.IM3	P.0002320.T01.IM3	P.0002351.T01.IM3	P.0002444.T01.IM3	P.0002485.T01.IM3	P.0002546.T01.IM3	P.0002559.T01.IM3	P.0002637.T01.IM3	P.0002639.T01.IM3	P.0002731.T02.IM5	P.0002751.T01.IM3	P.0002758.T01.IM3	P.0002766.T01.IM3	P.0002794.T02.IM5	P.0002806.T01.IM3	P.0002826.T01.IM3	P.0002874.T01.IM3	P.0002890.T01.IM3	P.0002905.T01.IM3	P.0002912.T01.IM3	P.0002917.T01.IM3	P.0002921.T01.IM3	P.0002965.T01.IM3	P.0002969.T01.IM3	P.0003017.T01.IM3	P.0003034.T01.IM5	P.0003119.T01.IM5	P.0003132.T01.IM5	P.0003157.T01.IM5	P.0003229.T01.IM5	P.0003275.T01.IM5	P.0003322.T01.IM5	P.0003347.T01.IM5	P.0003368.T01.IM5	P.0003495.T01.IM5	P.0003562.T02.IM5	P.0003584.T01.IM5	P.0003735.T01.IM5	P.0003738.T02.IM5	P.0003782.T01.IM5	P.0003869.T01.IM5	P.0003913.T01.IM3	P.0003964.T01.IM3	P.0003970.T02.IM5	P.0004020.T01.IM5	P.0004054.T01.IM5	P.0004232.T01.IM5	P.0004279.T01.IM5	P.0004436.T01.IM5	P.0004442.T01.IM5	P.0004463.T01.IM5	P.0004472.T01.IM5	P.0004495.T01.IM5	P.0004517.T01.IM5	P.0004588.T01.IM5	P.0004701.T01.IM5	P.0004752.T01.IM5	P.0004759.T01.IM5	P.0004827.T01.IM5	P.0004890.T01.IM5	P.0004961.T02.IM5	P.0004996.T02.IM5	P.0005048.T01.IM5	P.0005115.T01.IM5	P.0005289.T01.IM5	P.0005295.T01.IM5	P.0005320.T01.IM5	P.0005510.T01.IM5	P.0005629.T02.IM5	P.0005721.T01.IM5	P.0005752.T01.IM5	P.0005792.T01.IM5	P.0005848.T01.IM5	P.0005898.T01.IM5	P.0005975.T01.IM5	P.0005981.T01.IM5	P.0006047.T02.IM5	P.0006071.T01.IM5	P.0006084.T01.IM5	P.0006114.T02.IM5	P.0006294.T01.IM5	P.0006312.T02.IM5	P.0006330.T01.IM5	P.0006343.T01.IM5	P.0006364.T01.IM5	P.0006415.T01.IM5	P.0006540.T01.IM5	P.0006642.T01.IM5	P.0006724.T01.IM5	P.0006768.T02.IM5	P.0006895.T01.IM5	P.0006954.T01.IM5	P.0006993.T01.IM5	P.0007084.T02.IM5	P.0007088.T02.IM5	P.0007101.T02.IM5	P.0007121.T01.IM5	P.0007123.T01.IM5	P.0007278.T01.IM5	P.0007418.T01.IM5	P.0007420.T01.IM5	P.0007493.T02.IM5	P.0007582.T01.IM5	P.0007583.T01.IM5	P.0007597.T01.IM5	P.0007619.T01.IM5	P.0007633.T01.IM5	P.0007757.T02.IM5	P.0007861.T01.IM5	P.0007879.T01.IM5	P.0007977.T01.IM5	P.0007978.T01.IM5	P.0008176.T01.IM5	P.0008239.T01.IM5	P.0008295.T01.IM5	P.0008322.T01.IM5	P.0008370.T01.IM5	P.0008406.T01.IM5	P.0008442.T02.IM5	P.0008715.T01.IM5	P.0008786.T01.IM5	P.0008848.T01.IM5	P.0008851.T01.IM5	P.0008935.T01.IM5	P.0008944.T01.IM5	P.0008976.T01.IM5	P.0009080.T01.IM5	P.0009202.T01.IM5	P.0009256.T01.IM5	P.0009274.T01.IM5	P.0009293.T01.IM5	P.0009319.T01.IM5	P.0009379.T01.IM5	P.0009419.T01.IM5	P.0009426.T01.IM5	P.0009469.T01.IM5	P.0009473.T01.IM5	P.0009501.T01.IM5	P.0009505.T01.IM5	P.0009521.T01.IM5	P.0009586.T01.IM5	P.0009655.T01.IM5	P.0009680.T01.IM5	P.0009763.T01.IM5	P.0009764.T01.IM5	P.0009833.T01.IM5	P.0009959.T01.IM5	P.0010024.T01.IM5	P.0010025.T01.IM5	P.0010065.T01.IM5	P.0010213.T01.IM5	P.0010256.T01.IM5	P.0010636.T01.IM5	P.0010648.T01.IM5	P.0010715.T01.IM5	P.0010736.T01.IM5	P.0010760.T01.IM5	P.0010840.T02.IM5	P.0010891.T01.IM5	P.0010986.T01.IM5	P.0011033.T01.IM5	P.0011036.T01.IM5	P.0011149.T01.IM5	P.0011180.T01.IM5	P.0011192.T01.IM5	P.0011244.T01.IM5	P.0011254.T01.IM5	P.0011499.T01.IM5	P.0011541.T01.IM5	P.0011559.T01.IM5	P.0012076.T01.IM5	P.0012192.T02.IM5	P.0012373.T01.IM5	P.0012427.T01.IM5	P.0012629.T01.IM5	P.0012729.T01.IM5	P.0012817.T01.IM5	P.0012846.T01.IM5	P.0012849.T01.IM5	P.0012866.T01.IM5	P.0012908.T01.IM5	P.0012931.T01.IM5	P.0013653.T01.IM5	P.0014172.T01.IM5	P.0014269.T01.IM6	P.0014451.T01.IM6	P.0014529.T01.IM6	P.0014599.T01.IM6	P.0014786.T01.IM6	P.0014818.T01.IM6	P.0015078.T01.IM6	P.0015296.T01.IM6	P.0015531.T01.IM6	P.0015556.T01.IM6	P.0015758.T01.IM6	P.0015771.T01.IM6	P.0015780.T01.IM6	P.0015785.T01.IM6	P.0015984.T01.IM6	P.0016033.T01.IM6	P.0016046.T01.IM6	P.0016646.T01.IM6	P.0016809.T01.IM6
1p	0.130	-0.205	0.000	0.000	0.000	-0.103	-0.294	0.000	0.000	0.000	0.000	0.000	0.133	0.000	0.000	0.228	0.000	0.151	0.000	0.000	0.000	0.000	0.281	0.000	0.000	0.000	0.000	0.000	0.000	0.123	0.000	-0.094	0.000	0.000	-0.191	-0.143	0.468	0.000	0.000	0.000	0.000	0.000	0.000	-0.195	0.000	0.000	-0.218	0.000	0.335	-0.243	0.000	0.000	-0.311	0.000	-0.133	-0.159	0.000	-0.111	0.000	0.000	0.000	0.104	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.320	0.000	-0.104	-0.549	0.537	0.000	0.000	0.000	0.000	0.115	0.000	-0.725	0.000	0.538	0.102	0.294	0.000	-0.364	-0.372	0.000	0.000	-0.102	0.000	0.000	0.000	0.000	0.000	-0.133	0.000	-0.808	0.000	0.000	0.119	0.000	0.000	0.000	-0.513	0.000	0.000	0.000	0.145	0.000	0.000	-0.306	0.000	-0.131	-0.292	0.136	0.000	0.000	0.000	0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.111	0.000	0.000	-0.141	0.326	0.000	0.000	0.000	0.185	-0.145	0.000	0.130	-0.201	0.000	0.354	0.662	0.000	0.000	0.000	0.000	-0.447	-0.205	-0.152	-0.330	-0.380	0.000	0.000	0.000	0.149	-0.133	0.414	0.000	0.000	0.000	0.000	-0.333	-0.109	0.000	0.000	0.332	0.128	-0.433	-0.168	0.223	0.000	-0.112	0.000	0.426	-0.324	0.333	0.142	0.000	0.000	0.000	-0.101	0.257	0.418	-0.133	-0.152	0.000	0.000	0.000	-0.134	0.183	0.000	0.107	-0.282	0.000	0.000	0.000	0.000	0.000	0.000	-0.137	0.100	-0.153	0.000	-0.109	0.123	0.000	0.408	0.000	-0.175	0.000	-0.147	-0.579	0.000	0.000	-0.125	0.000	0.152	-0.180	-0.199	0.467	-0.138	-0.193	0.000	0.000
1q	0.130	0.421	0.000	0.000	0.000	0.121	0.162	0.000	0.000	0.134	0.000	0.000	0.133	0.287	0.000	0.325	0.000	0.151	0.160	-0.467	0.607	0.000	0.281	0.000	0.598	0.000	0.000	0.000	0.000	0.123	0.000	0.139	0.000	0.000	-0.042	0.218	0.468	0.000	0.000	0.000	0.854	0.000	0.000	0.459	0.000	0.000	0.507	0.000	-0.174	0.451	0.000	0.181	0.477	0.497	-0.133	0.565	0.000	0.354	0.248	0.000	0.000	0.104	0.111	0.000	0.882	0.000	0.000	0.000	0.000	0.687	0.000	0.000	0.000	0.205	0.000	0.000	0.000	0.659	0.000	-0.104	0.000	0.201	-0.549	0.537	0.000	0.420	0.000	0.722	0.115	0.000	0.670	0.000	0.538	0.102	1.077	0.000	0.530	0.276	0.708	0.000	0.000	0.482	0.000	0.000	0.380	0.000	0.000	0.000	0.000	0.000	0.732	0.119	0.000	0.000	0.579	0.950	0.851	0.179	0.000	0.145	0.124	0.000	0.813	0.000	0.218	-0.011	0.472	0.000	0.000	0.688	0.495	0.964	0.484	0.000	0.000	0.000	1.410	0.000	0.254	0.000	0.000	0.160	0.781	0.000	0.000	0.126	0.326	0.000	0.442	0.000	0.185	0.368	0.000	0.130	-0.201	0.146	0.354	2.008	-0.633	0.000	0.000	0.000	0.450	-0.205	-0.152	0.000	1.798	0.238	0.395	0.000	0.000	0.755	0.414	0.000	0.000	1.129	0.000	0.000	0.000	0.572	0.000	0.332	0.128	1.072	0.350	0.223	0.000	0.552	0.000	0.426	0.371	0.000	0.142	0.000	0.248	0.000	0.827	1.321	0.000	0.000	0.141	0.000	0.000	0.356	0.246	0.183	0.000	0.107	0.000	0.794	0.000	0.000	0.000	0.000	0.000	0.535	0.460	0.423	0.338	0.044	0.123	0.000	0.775	0.000	0.051	0.000	0.162	0.654	0.000	0.293	0.243	0.000	0.152	0.885	0.043	0.467	-0.138	0.181	0.576	0.000
2p	0.185	0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.174	0.000	-0.411	-0.439	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.000	0.252	0.000	0.147	0.000	0.000	0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.100	0.000	-0.154	0.000	0.233	0.000	0.153	0.000	0.422	0.000	0.107	0.000	0.000	0.148	0.163	0.000	0.000	0.000	0.000	0.000	0.418	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.676	0.000	0.000	0.000	0.000	-0.140	0.000	0.000	0.000	0.000	0.000	0.105	0.293	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.226	-0.101	0.000	0.000	0.339	0.167	0.000	0.000	0.000	-0.121	0.268	0.122	0.000	0.000	0.131	0.508	0.000	0.000	0.120	0.000	0.197	0.472	0.000	0.128	0.000	0.000	0.189	0.141	0.229	0.000	-0.187	0.255	0.000	0.000	0.000	0.179	0.000	0.000	0.117	0.373	0.000	0.000	0.215	0.000	0.000	0.418	0.202	0.000	0.000	0.129	0.000	0.458	0.000	0.000	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.228	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.207	0.000	0.116	0.000	0.000	0.411	1.108	0.332	0.234	0.102	0.000	-0.135	0.128	0.000	0.000	0.000	0.152	0.000	0.420	0.284	0.000	0.000	0.000
2q	0.185	0.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.194	0.000	0.000	0.000	0.000	0.174	0.000	-0.411	0.000	0.000	0.000	0.000	0.000	0.000	0.109	0.152	0.000	0.252	0.000	0.147	0.000	0.000	0.139	0.000	0.000	0.000	0.000	0.000	-0.312	0.000	0.000	0.000	0.100	0.000	-0.154	0.000	0.233	0.000	0.153	0.000	0.107	0.000	0.107	0.000	0.000	0.148	0.163	0.000	0.396	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.292	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.316	-0.113	0.000	0.000	0.000	-0.140	0.000	0.000	0.000	0.000	0.000	-0.117	0.102	0.000	0.000	0.000	0.000	0.458	0.000	0.000	0.000	0.000	0.226	-0.101	0.000	0.000	0.339	0.167	0.145	0.000	0.000	-0.121	0.268	0.122	0.000	0.000	0.000	-0.116	0.000	0.000	0.120	-0.120	0.197	0.472	0.000	0.128	0.000	0.000	0.189	0.141	0.229	0.000	-0.187	0.255	0.000	0.000	0.000	0.179	-0.107	0.000	0.117	0.373	0.000	0.000	0.000	0.295	0.000	0.123	0.202	0.000	0.000	0.129	0.000	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.105	0.000	0.000	0.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.344	0.000	0.000	0.000	0.000	-0.118	0.000	0.000	0.000	0.000	0.116	0.000	0.000	0.411	0.161	-0.211	0.234	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.000	0.000	0.284	0.000	0.000	0.000
3p	-0.230	0.000	0.000	-0.526	-0.273	-0.134	0.000	0.000	0.330	0.000	0.000	0.123	0.000	0.000	0.000	0.119	0.000	-0.375	0.000	0.000	0.135	0.000	0.000	0.000	0.000	0.000	-0.131	-0.202	-0.392	-0.671	0.189	-0.273	0.000	0.000	-0.127	-0.156	-0.532	0.000	0.000	0.000	0.000	-0.122	0.000	0.000	-0.486	0.000	-0.376	0.000	0.000	-0.246	-0.246	0.000	-0.315	-0.621	-0.163	0.000	0.000	0.000	-0.309	-0.219	0.000	0.000	-0.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.269	0.672	0.000	0.000	0.000	0.000	-0.311	0.000	-0.107	0.268	0.000	-0.454	0.000	0.269	0.000	0.177	0.000	-0.146	0.000	-0.728	0.000	0.000	0.000	0.000	0.000	-0.414	-0.226	0.000	0.000	-0.760	0.000	0.000	0.000	0.000	-0.130	0.000	0.000	-0.674	0.000	0.000	-0.157	0.218	0.000	0.105	-0.153	0.000	0.000	0.259	0.107	0.000	0.000	0.000	0.000	-0.111	-0.561	0.000	0.000	-0.141	0.000	0.369	0.000	-0.213	0.000	0.000	0.000	0.351	-0.121	-0.159	0.186	0.000	0.000	0.000	0.000	0.000	-0.122	-0.203	0.137	-0.235	0.000	-0.126	-0.110	0.000	0.000	-0.298	0.000	-0.286	-0.575	0.000	-0.191	0.000	0.000	0.217	-0.191	-0.331	-0.332	0.000	0.000	0.000	0.000	0.000	0.291	-0.132	0.000	0.000	0.000	-0.468	0.000	-0.118	0.000	0.000	0.000	-0.377	-0.374	-0.141	0.000	0.000	-0.202	0.000	-0.174	-0.245	-0.213	0.000	0.000	0.000	0.000	0.000	-0.373	-0.472	-0.104	0.000	0.000	0.000	0.000	-0.181	0.000	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.213	-0.239	0.000	-0.243	0.000	0.000	-0.663	-0.133	-0.140	-0.131	-0.488	0.205	-0.437	0.000	0.000	0.000	-0.194	-0.371	0.000	0.105	0.000	0.000	-0.168
3q	0.184	-0.404	0.000	0.000	-0.273	0.000	0.483	0.000	0.330	0.000	0.000	0.123	0.000	0.778	0.000	0.119	0.000	-0.035	0.000	0.000	0.135	0.557	0.000	0.000	0.000	0.000	-0.131	0.086	0.101	-0.671	0.189	0.938	0.000	0.000	0.306	-0.156	0.479	0.000	0.000	0.000	0.000	-0.122	0.000	0.000	0.601	0.000	-0.376	0.000	0.000	-0.246	-0.246	-0.412	-0.315	0.000	0.000	0.129	0.000	0.000	-0.309	-0.219	0.000	0.000	0.118	0.000	0.881	0.000	0.000	0.000	0.000	1.165	0.000	-0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.107	0.268	0.000	0.000	0.000	0.269	0.000	0.177	0.000	-0.146	0.000	0.898	0.000	0.000	0.000	0.000	0.000	-0.414	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.130	0.000	0.000	0.784	0.116	0.000	-0.264	0.000	0.000	0.105	-0.153	0.000	0.000	0.259	0.107	0.000	0.000	0.000	0.000	-0.111	0.039	0.000	0.000	-0.141	-0.368	0.229	0.507	-0.213	0.000	0.000	0.000	0.351	-0.121	0.000	0.186	0.000	0.000	0.000	0.000	0.000	-0.122	-0.203	0.137	0.328	0.000	0.354	0.638	0.000	0.000	0.000	0.000	0.141	-0.123	1.411	-0.191	0.000	0.000	0.000	0.243	0.617	-0.332	0.000	0.000	0.000	0.000	0.000	0.291	-0.132	0.000	0.518	0.000	0.000	0.536	-0.118	0.000	0.000	0.549	1.216	0.000	-0.141	0.000	0.000	0.231	0.000	0.318	0.115	0.820	0.000	0.000	0.000	0.000	0.000	-0.373	-0.472	-0.104	0.000	0.000	0.000	0.000	-0.181	0.000	0.000	0.000	0.336	0.683	0.000	0.000	0.000	0.000	0.000	0.479	0.168	-0.213	0.181	0.000	0.427	0.000	0.000	-0.008	0.820	1.275	-0.131	0.482	-0.135	0.682	0.000	0.000	0.000	-0.194	-0.371	0.544	0.105	0.000	0.000	0.000
4p	0.000	0.000	0.000	-0.502	-0.190	-0.118	-0.184	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.170	0.000	0.220	0.000	0.217	-0.433	0.000	-0.100	0.000	0.000	-0.135	-0.118	-0.122	-0.439	0.260	0.000	0.000	0.000	0.000	0.155	0.000	-0.481	0.112	0.000	0.135	0.000	0.000	0.000	0.000	0.000	-0.191	0.685	0.000	-0.342	0.000	0.000	0.000	-0.347	-0.532	0.112	0.000	0.107	-0.508	0.000	-0.179	0.214	0.000	-0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.000	0.141	0.000	0.000	0.000	0.000	0.121	-0.135	0.580	-0.134	0.159	0.000	-0.134	0.000	-0.179	0.000	-0.141	-0.152	0.000	0.000	-0.723	0.000	-0.453	0.000	0.260	-0.115	-0.414	0.000	0.000	-0.200	0.000	0.000	-0.255	0.000	0.000	0.000	0.000	0.000	-0.843	0.169	0.000	0.157	-0.137	0.000	0.115	0.000	0.000	0.000	0.222	-0.198	0.000	0.000	0.000	0.000	-0.139	0.000	0.520	-0.212	0.000	0.295	0.000	-0.126	0.000	0.000	-0.103	0.000	-0.104	-0.437	0.000	0.167	0.000	-0.438	0.000	0.000	-0.119	0.120	-0.189	0.000	0.000	0.000	0.163	-0.117	0.000	0.000	-0.297	-0.127	-0.188	0.430	-0.236	-0.269	0.000	0.000	0.150	0.000	-0.435	0.000	-0.342	0.000	0.391	0.000	0.000	0.000	0.000	0.000	-0.124	0.255	0.108	0.000	0.000	0.000	0.000	0.226	0.000	0.000	-0.236	0.000	0.000	0.595	-0.118	-0.199	-0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.316	0.000	0.000	-0.113	0.000	0.000	0.000	0.125	0.000	0.000	-0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.138	0.000	0.000	0.000	0.298	-0.628	-0.044	-0.201	0.000	0.000	0.121	-0.534	0.000	0.000	0.000	-0.140	0.000	0.000	0.000	-0.166	0.000	0.000
4q	-0.132	0.000	0.000	0.220	-0.299	-0.118	-0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.170	0.000	0.220	0.000	-0.301	-0.433	0.000	-0.100	0.000	0.000	-0.135	-0.118	-0.122	-0.439	0.260	0.000	0.000	0.000	0.000	0.155	0.000	-0.481	0.570	0.000	0.135	0.000	0.000	0.000	0.000	0.377	-0.191	0.130	0.000	-0.342	0.000	0.000	0.000	-0.347	0.000	0.000	0.000	0.107	-0.508	0.000	-0.179	0.214	0.000	0.359	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.100	0.000	0.000	0.000	0.000	0.121	-0.135	0.000	-0.134	0.159	0.000	-0.134	0.000	0.000	-0.290	-0.141	-0.152	0.000	0.000	-0.723	0.000	-0.319	0.000	0.260	-0.115	-0.414	0.000	0.000	-0.200	0.000	0.000	-0.150	0.000	0.000	0.000	0.000	0.000	-0.843	0.169	0.000	0.000	-0.137	0.000	-0.051	-0.123	0.000	0.000	0.222	-0.198	0.000	0.000	0.000	0.000	-0.139	0.000	-0.120	-0.212	0.000	0.295	0.000	-0.126	0.000	0.000	-0.103	0.000	-0.104	-0.437	-0.336	-0.338	0.000	0.000	0.000	0.000	-0.119	0.120	-0.189	0.000	0.000	0.000	0.163	0.623	0.000	0.000	-0.297	-0.127	0.000	-0.489	-0.236	-0.269	0.000	0.000	0.150	0.000	-0.435	0.000	-0.342	0.000	0.391	0.000	0.000	0.000	0.000	0.000	-0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.236	0.000	0.000	-0.139	-0.118	-0.349	-0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.316	0.000	0.000	-0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.507	0.000	-0.241	0.000	0.000	0.000	-0.160	-0.628	-0.166	-0.201	0.000	0.486	0.121	-0.534	0.000	0.000	0.000	-0.140	0.000	0.000	0.000	-0.166	0.000	0.000
5p	0.973	0.000	0.295	0.000	0.000	0.000	0.367	0.000	0.505	0.000	0.145	1.117	0.000	0.000	-0.126	0.237	0.287	0.943	0.000	0.000	1.133	0.374	0.501	0.000	0.535	0.000	0.000	-0.172	0.935	0.767	0.000	0.343	0.000	0.313	0.995	0.000	0.870	1.205	0.214	0.628	0.000	0.000	0.000	-0.209	1.508	-0.101	0.000	0.113	1.691	0.000	0.184	0.411	0.000	1.173	0.000	0.232	1.143	0.000	0.215	0.813	0.110	0.127	-0.639	0.820	0.000	0.000	0.000	0.000	0.000	0.963	0.000	0.000	0.373	0.119	0.000	0.125	0.102	0.238	1.697	0.114	0.206	0.105	0.629	0.340	0.812	0.650	0.744	0.390	1.155	0.000	0.473	0.000	-0.150	0.000	0.000	0.000	0.215	0.318	0.286	0.000	0.000	0.000	0.129	0.000	0.000	0.141	0.134	0.607	0.000	0.000	0.413	0.000	0.558	0.248	0.000	0.543	0.000	0.000	0.349	0.000	0.000	0.000	0.000	0.000	0.000	0.868	1.058	0.000	0.000	0.339	1.869	0.523	0.161	0.000	0.000	0.000	1.127	0.310	0.403	0.000	0.196	1.515	0.135	0.103	0.000	0.125	0.689	0.375	-0.104	0.000	0.000	1.618	0.000	0.000	0.335	0.000	0.440	0.000	-0.106	0.000	0.000	0.000	0.365	0.380	0.382	0.209	0.869	0.000	0.405	0.000	0.000	0.000	1.036	0.000	0.788	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.478	0.000	0.198	0.817	0.000	1.825	0.140	1.396	0.133	2.028	1.074	0.000	0.000	0.000	0.000	1.125	0.000	0.000	0.320	0.000	0.000	0.771	-0.293	0.982	0.000	0.000	0.180	0.377	0.000	0.000	0.000	-0.129	0.000	0.216	0.000	0.000	0.397	0.037	0.207	0.000	-0.126	0.000	0.552	0.570	0.000	0.470	0.927	0.018	0.000	0.000	0.000	0.264	1.022	1.501	0.000	0.000	0.000	0.000
5q	-0.144	0.000	0.295	0.000	0.000	0.000	0.027	0.000	-0.376	0.000	0.000	0.000	0.000	0.000	-0.126	0.237	-0.130	-0.294	0.000	0.000	-0.360	0.000	0.000	0.000	0.000	0.000	0.000	-0.283	0.000	-0.532	0.000	-0.247	0.000	0.000	-0.152	0.000	-0.630	1.205	-0.127	0.000	0.000	0.000	0.000	-0.209	-0.517	-0.101	-0.343	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.000	0.000	0.215	0.000	0.110	0.127	-0.639	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.264	0.000	0.000	0.125	0.102	0.000	0.000	0.114	0.206	0.105	-0.620	0.000	0.149	0.000	-0.133	0.390	0.114	0.000	-0.679	0.000	-0.150	0.000	0.000	0.000	0.215	-0.286	0.286	0.000	0.000	0.000	0.129	0.000	0.000	0.141	0.134	0.000	-0.809	0.000	0.413	0.000	0.000	0.248	0.000	-0.423	0.000	0.000	0.349	0.000	0.000	0.000	0.000	0.000	0.000	-0.270	-0.214	0.000	0.000	0.000	0.214	0.000	0.161	0.000	0.000	0.000	0.000	0.310	-0.299	0.000	-0.318	0.000	0.135	0.103	0.000	0.125	0.689	0.000	-0.104	0.000	0.000	0.000	0.000	0.000	-0.263	0.000	0.000	0.000	-0.106	0.000	0.000	0.000	0.365	-0.568	-0.362	0.209	0.132	0.000	0.405	0.000	0.000	0.295	-0.108	0.000	-0.132	0.101	0.000	0.450	0.000	0.000	0.000	0.000	-0.117	0.000	-0.298	0.288	0.000	-0.164	0.140	-0.173	0.133	-0.002	0.000	0.000	0.000	0.000	0.000	-0.386	0.416	0.000	0.000	0.000	0.000	0.771	-0.293	0.000	0.000	0.000	0.180	-0.118	0.000	0.000	0.000	-0.129	0.000	-0.217	0.000	0.000	-0.189	-0.126	0.207	0.000	-0.126	0.000	-0.262	-0.257	0.000	0.000	-0.113	-0.595	0.000	0.000	0.000	0.264	0.000	0.000	0.000	0.000	0.000	0.000
